latitude,longitude,bright_ti4
-13.24288,141.99704,306.2
-13.24376,141.98105,300.4
-13.24848,141.98817,302.5
-13.2504,141.99971,303.1
-13.25193,141.98759,310
-13.25384,141.99911,304.8
-13.16532,141.64641,309.1
-13.28479,141.99371,302.9
-13.25817,141.98259,322.8
-13.25409,141.97932,305.7
-13.25601,141.99084,306.9
-13.2569,141.97488,320
-12.25685,133.38423,300.4
-11.42843,130.47757,320.7
-11.44244,130.47429,303.3
-13.64192,130.58629,300.5
-12.88647,134.48039,300.9
-12.50898,131.48637,300.4
-12.88314,134.23106,300.7
-12.68735,134.04472,304.8
-12.7545,134.53439,304.7
-13.01824,134.51556,304.6
-12.49808,133.15973,307.4
-12.47952,133.12904,307.3
-14.29452,134.94293,309.5
-13.34998,132.01099,303.7
-13.31229,131.97054,313.4
-13.31547,131.97101,315.3
-13.57172,131.47023,299.6
-13.43391,132.07108,298.9
-13.44212,132.06303,300.7
-13.82211,134.41064,311.7
-13.97755,131.22998,305.8
-14.0281,130.42865,327
-14.03067,130.43401,303.3
-14.16768,130.01665,315.2
-14.16672,130.01665,315
-14.16809,130.05185,304.9
-12.8116,134.24515,303.4
-12.42604,131.18846,299.6
-13.05549,132.92101,319.1
-13.05835,132.92236,309.3
-12.83782,132.89796,302.7
-12.98155,132.96414,300.8
-12.98201,132.95569,317.3
-13.00342,132.96959,304.4
-13.01176,132.94984,301.4
-13.02608,132.95941,303.6
-13.03092,132.95274,319
-13.11732,132.90778,303.7
-12.86882,132.9276,302.8
-15.19238,131.3205,306.9
-15.20086,131.32938,305.4
-15.19529,131.32471,313.7
-15.09062,131.09439,301.4
-15.5111,143.20128,302.7
-15.65794,143.2283,301.9
-12.72776,133.8941,303.6
-12.7667,133.72527,300.2
-12.69559,133.90923,307.2
-14.69769,130.67751,298.8
-14.82534,144.32854,308.6
-15.03471,144.89923,305
-15.26126,131.17146,311.6
-15.26237,131.17665,308
-15.06006,130.58995,304.8
-15.26764,131.16222,298.8
-14.91404,131.80511,300.7
-15.4201,142.42122,302.6
-14.95003,131.82326,300.9
-14.94354,144.83046,300.5
-14.34156,130.67953,306.3
-15.0941,130.588,310.9
-14.95105,131.82809,306
-15.21955,131.32443,299.6
-15.00711,131.78928,316.4
-15.21224,131.32098,300.3
-14.7145,130.69139,300.4
-15.01064,131.7816,320.7
-15.01477,131.77086,309
-15.02192,131.77425,307.3
-15.13645,130.40074,301.6
-14.17364,130.63834,334.8
-15.16765,131.19911,316.1
-14.23669,130.69246,307.6
-14.23132,130.69971,301.4
-14.20514,130.67545,328.6
-14.23633,130.70401,308.9
-14.23272,130.68692,302.2
-14.21705,130.67856,304.1
-14.2025,130.67554,329.1
-16.12937,136.67931,308.7
-14.97874,144.78027,308.4
-14.96529,144.78242,303.1
-15.16017,131.19537,304.7
-15.17406,131.20343,306.2
-14.67305,130.6595,300.8
-15.16554,131.19461,314
-15.14898,131.14827,307.4
-15.12017,131.13824,315.4
-15.14029,130.41858,304.2
-14.23875,130.71544,311.6
-15.11147,131.12889,303.5
-14.24783,130.7256,300.4
-14.24294,130.72108,315.6
-14.25743,130.72395,316.1
-15.08189,131.08499,311
-15.06958,131.05928,307
-14.27064,130.72095,316.3
-14.29172,130.72231,315.4
-15.76508,137.04768,315.3
-15.78308,136.99913,306.6
-15.7951,137.06389,311.2
-15.18165,131.30107,301.9
-15.76719,137.08293,308.7
-14.64468,130.60732,329.7
-14.65141,130.60637,307.8
-14.64808,130.64024,320.5
-15.14176,130.39308,311.3
-15.76205,137.07951,300.8
-14.82694,144.63916,301.9
-14.65575,130.61208,319.5
-15.25413,131.07083,306.1
-15.2512,131.0878,317
-14.36154,143.50262,313.4
-15.25676,131.0883,301
-15.25153,131.095,305.4
-14.19459,130.65919,305
-14.18665,130.65477,320.9
-15.14349,130.38574,302.4
-15.17115,130.35312,302.3
-14.63866,130.62892,317.4
-15.10295,130.56552,305.3
-15.10819,130.55794,308.1
-15.11471,130.55617,305.2
-15.11994,130.52916,304.1
-14.18544,130.66087,308.7
-14.62789,130.61154,319.6
-14.62932,130.61803,339.4
-14.64347,130.63414,316.5
-14.63284,130.61674,317.6
-14.62355,130.60574,300.7
-15.14878,130.37814,301.3
-14.75635,130.69385,307.3
-16.14497,136.71335,296.3
-15.08623,130.58356,302.2
-15.38228,142.23112,330.1
-13.97005,130.5909,311.5
-15.371,142.33163,303.4
-14.15631,130.62267,320.3
-15.38577,142.29503,309.3
-14.83868,144.34848,300.3
-15.36487,142.3365,312.3
-14.36288,143.57561,302
-15.38408,142.2422,303.4
-15.16385,129.99702,308.1
-15.22119,130.26198,302.5
